date,symbol,close,tradecount
01-08-2022,1INCHBTC,3.31E-05,5073
31-07-2022,1INCHBTC,3.26E-05,6277
30-07-2022,1INCHBTC,3.24E-05,6627
29-07-2022,1INCHBTC,3.20E-05,4776
28-07-2022,1INCHBTC,3.24E-05,7145
27-07-2022,1INCHBTC,3.03E-05,2994
26-07-2022,1INCHBTC,2.99E-05,2204
25-07-2022,1INCHBTC,2.92E-05,1992
24-07-2022,1INCHBTC,2.99E-05,1527
23-07-2022,1INCHBTC,3.03E-05,2315
22-07-2022,1INCHBTC,2.92E-05,2106
21-07-2022,1INCHBTC,2.97E-05,2025
20-07-2022,1INCHBTC,2.91E-05,4318
19-07-2022,1INCHBTC,3.14E-05,5605
18-07-2022,1INCHBTC,3.18E-05,6739
17-07-2022,1INCHBTC,3.10E-05,3631
16-07-2022,1INCHBTC,3.14E-05,4083
15-07-2022,1INCHBTC,3.14E-05,7422
14-07-2022,1INCHBTC,2.99E-05,3023
13-07-2022,1INCHBTC,2.94E-05,2028
12-07-2022,1INCHBTC,2.89E-05,2441
11-07-2022,1INCHBTC,2.96E-05,1851
10-07-2022,1INCHBTC,3.06E-05,1850
09-07-2022,1INCHBTC,3.23E-05,1897
08-07-2022,1INCHBTC,3.19E-05,4246
07-07-2022,1INCHBTC,2.98E-05,2745
06-07-2022,1INCHBTC,3.04E-05,3264
05-07-2022,1INCHBTC,3.09E-05,4876
04-07-2022,1INCHBTC,3.15E-05,4000
03-07-2022,1INCHBTC,3.25E-05,3273
02-07-2022,1INCHBTC,3.30E-05,3645
01-07-2022,1INCHBTC,3.39E-05,4414
30-06-2022,1INCHBTC,3.49E-05,5570
29-06-2022,1INCHBTC,3.52E-05,6017
28-06-2022,1INCHBTC,3.66E-05,12135
27-06-2022,1INCHBTC,3.25E-05,4315
26-06-2022,1INCHBTC,3.29E-05,5014
25-06-2022,1INCHBTC,3.39E-05,4292
24-06-2022,1INCHBTC,3.55E-05,7615
23-06-2022,1INCHBTC,3.38E-05,4065
22-06-2022,1INCHBTC,3.44E-05,8078
21-06-2022,1INCHBTC,3.33E-05,7730
20-06-2022,1INCHBTC,3.33E-05,7275
19-06-2022,1INCHBTC,2.82E-05,2254
18-06-2022,1INCHBTC,2.91E-05,2613
17-06-2022,1INCHBTC,2.88E-05,1854
16-06-2022,1INCHBTC,2.82E-05,2766
15-06-2022,1INCHBTC,2.79E-05,5058
14-06-2022,1INCHBTC,2.68E-05,3773
13-06-2022,1INCHBTC,2.67E-05,5224
12-06-2022,1INCHBTC,2.45E-05,2386
11-06-2022,1INCHBTC,2.45E-05,1974
10-06-2022,1INCHBTC,2.61E-05,2147
09-06-2022,1INCHBTC,2.66E-05,1384
08-06-2022,1INCHBTC,2.71E-05,2075
07-06-2022,1INCHBTC,2.72E-05,3443
06-06-2022,1INCHBTC,2.79E-05,2353
05-06-2022,1INCHBTC,2.87E-05,1190
04-06-2022,1INCHBTC,2.91E-05,2686
03-06-2022,1INCHBTC,2.94E-05,4479
02-06-2022,1INCHBTC,3.06E-05,5566
01-06-2022,1INCHBTC,3.19E-05,6376
31-05-2022,1INCHBTC,3.05E-05,6265
30-05-2022,1INCHBTC,3.17E-05,6276
29-05-2022,1INCHBTC,3.12E-05,1969
28-05-2022,1INCHBTC,3.16E-05,5080
27-05-2022,1INCHBTC,3.14E-05,5120
26-05-2022,1INCHBTC,3.13E-05,3414
25-05-2022,1INCHBTC,3.27E-05,4652
24-05-2022,1INCHBTC,3.36E-05,5429
23-05-2022,1INCHBTC,3.27E-05,6027
22-05-2022,1INCHBTC,3.29E-05,3635
21-05-2022,1INCHBTC,3.27E-05,1710
20-05-2022,1INCHBTC,3.13E-05,1586
19-05-2022,1INCHBTC,3.07E-05,3555
18-05-2022,1INCHBTC,3.16E-05,5037
17-05-2022,1INCHBTC,3.15E-05,4561
16-05-2022,1INCHBTC,3.09E-05,5178
15-05-2022,1INCHBTC,3.13E-05,4940
14-05-2022,1INCHBTC,3.13E-05,7715
13-05-2022,1INCHBTC,3.13E-05,6819
12-05-2022,1INCHBTC,2.78E-05,13672
11-05-2022,1INCHBTC,3.48E-05,16050
10-05-2022,1INCHBTC,3.36E-05,9970
09-05-2022,1INCHBTC,3.35E-05,14583
08-05-2022,1INCHBTC,3.82E-05,5825
07-05-2022,1INCHBTC,3.67E-05,6910
06-05-2022,1INCHBTC,3.76E-05,11668
05-05-2022,1INCHBTC,3.52E-05,11768
04-05-2022,1INCHBTC,3.24E-05,4667
03-05-2022,1INCHBTC,3.11E-05,3888
02-05-2022,1INCHBTC,3.05E-05,3878
01-05-2022,1INCHBTC,3.01E-05,3338
30-04-2022,1INCHBTC,2.98E-05,5393
29-04-2022,1INCHBTC,3.26E-05,2039
28-04-2022,1INCHBTC,3.28E-05,3124
27-04-2022,1INCHBTC,3.37E-05,1940
26-04-2022,1INCHBTC,3.38E-05,2699
25-04-2022,1INCHBTC,3.51E-05,3162
24-04-2022,1INCHBTC,3.60E-05,2068
23-04-2022,1INCHBTC,3.66E-05,3730
22-04-2022,1INCHBTC,3.71E-05,4193
21-04-2022,1INCHBTC,3.69E-05,5563
20-04-2022,1INCHBTC,3.73E-05,2301
19-04-2022,1INCHBTC,3.72E-05,1637
18-04-2022,1INCHBTC,3.66E-05,2206
17-04-2022,1INCHBTC,3.68E-05,4229
16-04-2022,1INCHBTC,3.74E-05,3253
15-04-2022,1INCHBTC,3.74E-05,4062
14-04-2022,1INCHBTC,3.79E-05,4958
13-04-2022,1INCHBTC,3.77E-05,2128
12-04-2022,1INCHBTC,3.78E-05,5132
11-04-2022,1INCHBTC,3.70E-05,4420
10-04-2022,1INCHBTC,3.76E-05,2756
09-04-2022,1INCHBTC,3.89E-05,3785
08-04-2022,1INCHBTC,3.73E-05,4766
07-04-2022,1INCHBTC,3.82E-05,3498
06-04-2022,1INCHBTC,3.71E-05,5799
05-04-2022,1INCHBTC,4.03E-05,5388
04-04-2022,1INCHBTC,4.08E-05,7449
03-04-2022,1INCHBTC,4.26E-05,6855
02-04-2022,1INCHBTC,4.20E-05,14851
01-04-2022,1INCHBTC,4.07E-05,5266
31-03-2022,1INCHBTC,3.90E-05,9395
30-03-2022,1INCHBTC,3.90E-05,5803
29-03-2022,1INCHBTC,3.78E-05,6146
28-03-2022,1INCHBTC,3.66E-05,5987
27-03-2022,1INCHBTC,3.73E-05,9484
26-03-2022,1INCHBTC,3.65E-05,6240
25-03-2022,1INCHBTC,3.55E-05,7584
24-03-2022,1INCHBTC,3.70E-05,9090
23-03-2022,1INCHBTC,3.76E-05,7470
22-03-2022,1INCHBTC,3.65E-05,7111
21-03-2022,1INCHBTC,3.73E-05,7962
20-03-2022,1INCHBTC,3.77E-05,8150
19-03-2022,1INCHBTC,3.87E-05,10903
18-03-2022,1INCHBTC,3.81E-05,14894
17-03-2022,1INCHBTC,3.62E-05,6896
16-03-2022,1INCHBTC,3.67E-05,15410
15-03-2022,1INCHBTC,3.44E-05,3539
14-03-2022,1INCHBTC,3.36E-05,5121
13-03-2022,1INCHBTC,3.47E-05,5515
12-03-2022,1INCHBTC,3.43E-05,5946
11-03-2022,1INCHBTC,3.41E-05,3811
10-03-2022,1INCHBTC,3.48E-05,5243
09-03-2022,1INCHBTC,3.28E-05,2989
08-03-2022,1INCHBTC,3.35E-05,2040
07-03-2022,1INCHBTC,3.35E-05,2478
06-03-2022,1INCHBTC,3.39E-05,2279
05-03-2022,1INCHBTC,3.45E-05,2071
04-03-2022,1INCHBTC,3.45E-05,3010
03-03-2022,1INCHBTC,3.39E-05,2525
02-03-2022,1INCHBTC,3.40E-05,3355
01-03-2022,1INCHBTC,3.42E-05,3898
28-02-2022,1INCHBTC,3.48E-05,4342
27-02-2022,1INCHBTC,3.67E-05,3316
26-02-2022,1INCHBTC,3.67E-05,1520
25-02-2022,1INCHBTC,3.70E-05,2930
24-02-2022,1INCHBTC,3.49E-05,4557
23-02-2022,1INCHBTC,3.72E-05,2143
22-02-2022,1INCHBTC,3.72E-05,2663
21-02-2022,1INCHBTC,3.69E-05,3207
20-02-2022,1INCHBTC,3.86E-05,3131
19-02-2022,1INCHBTC,3.95E-05,5344
18-02-2022,1INCHBTC,3.96E-05,5160
17-02-2022,1INCHBTC,4.09E-05,6777
16-02-2022,1INCHBTC,4.11E-05,4707
15-02-2022,1INCHBTC,4.04E-05,3250
14-02-2022,1INCHBTC,3.99E-05,3738
13-02-2022,1INCHBTC,3.94E-05,3503
12-02-2022,1INCHBTC,4.00E-05,3421
11-02-2022,1INCHBTC,4.05E-05,5884
10-02-2022,1INCHBTC,4.14E-05,6006
09-02-2022,1INCHBTC,4.33E-05,4558
08-02-2022,1INCHBTC,4.22E-05,6258
07-02-2022,1INCHBTC,4.43E-05,4131
06-02-2022,1INCHBTC,4.39E-05,4109
05-02-2022,1INCHBTC,4.32E-05,3487
04-02-2022,1INCHBTC,4.25E-05,3505
03-02-2022,1INCHBTC,4.45E-05,2161
02-02-2022,1INCHBTC,4.42E-05,3183
01-02-2022,1INCHBTC,4.41E-05,3449
31-01-2022,1INCHBTC,4.37E-05,3500
30-01-2022,1INCHBTC,4.38E-05,3811
29-01-2022,1INCHBTC,4.49E-05,3538
