date,symbol,close,tradecount
8/7/22,1INCHBUSD,0.806,1485
8/6/22,1INCHBUSD,0.808,1936
8/5/22,1INCHBUSD,0.834,4737
8/4/22,1INCHBUSD,0.798,4099
8/3/22,1INCHBUSD,0.767,4081
8/2/22,1INCHBUSD,0.742,4490
8/1/22,1INCHBUSD,0.771,4167
7/31/22,1INCHBUSD,0.763,4335
7/30/22,1INCHBUSD,0.766,5622
7/29/22,1INCHBUSD,0.76,3326
7/28/22,1INCHBUSD,0.774,6285
7/27/22,1INCHBUSD,0.694,2450
7/26/22,1INCHBUSD,0.636,2435
7/25/22,1INCHBUSD,0.623,3354
7/24/22,1INCHBUSD,0.675,3309
7/23/22,1INCHBUSD,0.68,2987
7/22/22,1INCHBUSD,0.663,3255
7/21/22,1INCHBUSD,0.688,2540
7/20/22,1INCHBUSD,0.676,3347
7/19/22,1INCHBUSD,0.737,3852
7/18/22,1INCHBUSD,0.717,5121
7/17/22,1INCHBUSD,0.645,2817
7/16/22,1INCHBUSD,0.668,2022
7/15/22,1INCHBUSD,0.651,5270
7/14/22,1INCHBUSD,0.615,2945
7/13/22,1INCHBUSD,0.596,2894
7/12/22,1INCHBUSD,0.559,2297
7/11/22,1INCHBUSD,0.591,2163
7/10/22,1INCHBUSD,0.638,3465
7/9/22,1INCHBUSD,0.696,2238
7/8/22,1INCHBUSD,0.687,6006
7/7/22,1INCHBUSD,0.644,2752
7/6/22,1INCHBUSD,0.625,2093
7/5/22,1INCHBUSD,0.623,3064
7/4/22,1INCHBUSD,0.637,2261
7/3/22,1INCHBUSD,0.625,1470
7/2/22,1INCHBUSD,0.635,1304
7/1/22,1INCHBUSD,0.653,2915
6/30/22,1INCHBUSD,0.693,4683
6/29/22,1INCHBUSD,0.708,4179
6/28/22,1INCHBUSD,0.741,13891
6/27/22,1INCHBUSD,0.671,2951
6/26/22,1INCHBUSD,0.693,3143
6/25/22,1INCHBUSD,0.73,3647
6/24/22,1INCHBUSD,0.753,4883
6/23/22,1INCHBUSD,0.713,3012
6/22/22,1INCHBUSD,0.687,6596
6/21/22,1INCHBUSD,0.691,5934
6/20/22,1INCHBUSD,0.685,8585
6/19/22,1INCHBUSD,0.579,2337
6/18/22,1INCHBUSD,0.551,2829
6/17/22,1INCHBUSD,0.59,1573
6/16/22,1INCHBUSD,0.575,2671
6/15/22,1INCHBUSD,0.629,5915
6/14/22,1INCHBUSD,0.594,3574
6/13/22,1INCHBUSD,0.597,5968
6/12/22,1INCHBUSD,0.649,4080
6/11/22,1INCHBUSD,0.694,7122
6/10/22,1INCHBUSD,0.759,8591
6/9/22,1INCHBUSD,0.801,1522
6/8/22,1INCHBUSD,0.816,2105
6/7/22,1INCHBUSD,0.845,3089
6/6/22,1INCHBUSD,0.874,2385
6/5/22,1INCHBUSD,0.858,1730
6/4/22,1INCHBUSD,0.869,1688
6/3/22,1INCHBUSD,0.872,3294
6/2/22,1INCHBUSD,0.932,3724
6/1/22,1INCHBUSD,0.951,3622
5/31/22,1INCHBUSD,0.968,3886
5/30/22,1INCHBUSD,1.005,2964
5/29/22,1INCHBUSD,0.919,1606
5/28/22,1INCHBUSD,0.917,1916
5/27/22,1INCHBUSD,0.897,2923
5/26/22,1INCHBUSD,0.914,3350
5/25/22,1INCHBUSD,0.966,2769
5/24/22,1INCHBUSD,0.993,3524
5/23/22,1INCHBUSD,0.951,4606
5/22/22,1INCHBUSD,0.996,2764
5/21/22,1INCHBUSD,0.964,1703
5/20/22,1INCHBUSD,0.913,2519
5/19/22,1INCHBUSD,0.931,3288
5/18/22,1INCHBUSD,0.903,3796
5/17/22,1INCHBUSD,0.958,3542
5/16/22,1INCHBUSD,0.922,3881
5/15/22,1INCHBUSD,0.979,5194
5/14/22,1INCHBUSD,0.938,7498
5/13/22,1INCHBUSD,0.917,7482
5/12/22,1INCHBUSD,0.806,17019
5/11/22,1INCHBUSD,1.007,13281
5/10/22,1INCHBUSD,1.039,8460
5/9/22,1INCHBUSD,1.013,15187
5/8/22,1INCHBUSD,1.304,5538
5/7/22,1INCHBUSD,1.3,5357
5/6/22,1INCHBUSD,1.354,13195
5/5/22,1INCHBUSD,1.29,13444
5/4/22,1INCHBUSD,1.284,3749
5/3/22,1INCHBUSD,1.172,3550
5/2/22,1INCHBUSD,1.175,3371
5/1/22,1INCHBUSD,1.158,5434
4/30/22,1INCHBUSD,1.12,7879
4/29/22,1INCHBUSD,1.256,3317
4/28/22,1INCHBUSD,1.304,4741
4/27/22,1INCHBUSD,1.321,3121
4/26/22,1INCHBUSD,1.288,3405
4/25/22,1INCHBUSD,1.417,3965
4/24/22,1INCHBUSD,1.418,2972
4/23/22,1INCHBUSD,1.443,2774
4/22/22,1INCHBUSD,1.474,6928
4/21/22,1INCHBUSD,1.492,7879
4/20/22,1INCHBUSD,1.544,4862
4/19/22,1INCHBUSD,1.542,3340
4/18/22,1INCHBUSD,1.494,2945
4/17/22,1INCHBUSD,1.462,2376
4/16/22,1INCHBUSD,1.513,1926
